marg1,marg2,cihi1,cilo1,cihi2,cilo2,n1,n2
.0116252,.0111904,.0184862,.0047642,.0223298,.000051,.8,1.2
,,,,,,1.8,2.2
.0096832,.0093145,.0158243,.0035421,.0192698,-.0006408,2.8,3.2
,,,,,,3.8,4.2
.0077412,.0074387,.013222,.0022604,.0162448,-.0013675,4.8,5.2
,,,,,,5.8,6.2
.0057992,.0055628,.0107033,.0008951,.0132703,-.0021448,6.8,7.2
,,,,,,7.8,8.2
.0038572,.0036869,.008301,-.0005866,.0103714,-.0029977,8.8,9.2
,,,,,,9.8,10.2
.0019152,.001811,.0060541,-.0022237,.0075884,-.0039664,10.8,11.2
,,,,,,11.8,12.2
-.0000268,-.0000649,.003998,-.0040516,.004984,-.0051138,12.8,13.2
,,,,,,13.8,14.2
-.0019688,-.0019408,.0021486,-.0060862,.0026443,-.0065258,14.8,15.2
,,,,,,15.8,16.2
-.0039108,-.0038167,.000493,-.0083145,.0006524,-.0082857,16.8,17.2
,,,,,,17.8,18.2
-.0058528,-.0056925,-.0010032,-.0107024,-.000966,-.0104191,18.8,19.2
,,,,,,19.8,20.2
-.0077948,-.0075684,-.0023791,-.0132105,-.002265,-.0128718,20.8,21.2
,,,,,,21.8,22.2
-.0097368,-.0094443,-.0036683,-.0158053,-.0033344,-.0155542,22.8,23.2
,,,,,,23.8,24.2
-.0116788,-.0113202,-.0048958,-.0184618,-.0042524,-.018388,24.8,25.2
,,,,,,25.8,26.2
-.0136208,-.0131961,-.0060791,-.0211625,-.0050724,-.0213198,26.8,27.2
,,,,,,27.8,28.2
-.0155628,-.015072,-.0072302,-.0238953,-.0058279,-.0243161,28.8,29.2
,,,,,,29.8,30.2
